code	species	clade	Mating	M4	M3	M2	Parasitism	P3	P2	Ref
C5sp	Caenorhabditis sp. 5	V	gonochoristic	A	A	A	free	C	B	"Félix, Marie-Anne, Richard Jovelin, Céline Ferrari, Shery Han, Young Ran Cho, Erik C. Andersen, Asher D. Cutter, and Christian Braendle. ""Species richness, distribution and genetic diversity of Caenorhabditis nematodes in a remote tropical rainforest."" BMC evolutionary biology 13, no. 1 (2013): 10.; Kiontke, Karin C., Marie-Anne Félix, Michael Ailion, Matthew V. Rockman, Christian Braendle, Jean-Baptiste Pénigault, and David HA Fitch. ""A phylogeny and molecular barcodes for Caenorhabditis, with numerous new species from rotting fruits."" BMC evolutionary biology 11, no. 1 (2011): 339."
Cang	Caenorhabditis angaria	V	gonochoristic	A	A	A	free	C	B	"Félix, Marie-Anne, Richard Jovelin, Céline Ferrari, Shery Han, Young Ran Cho, Erik C. Andersen, Asher D. Cutter, and Christian Braendle. ""Species richness, distribution and genetic diversity of Caenorhabditis nematodes in a remote tropical rainforest."" BMC evolutionary biology 13, no. 1 (2013): 10.; Kiontke, Karin C., Marie-Anne Félix, Michael Ailion, Matthew V. Rockman, Christian Braendle, Jean-Baptiste Pénigault, and David HA Fitch. ""A phylogeny and molecular barcodes for Caenorhabditis, with numerous new species from rotting fruits."" BMC evolutionary biology 11, no. 1 (2011): 339."
Cbre	Caenorhabditis brenneri	V	gonochoristic	A	A	A	free	C	B	"Félix, Marie-Anne, Richard Jovelin, Céline Ferrari, Shery Han, Young Ran Cho, Erik C. Andersen, Asher D. Cutter, and Christian Braendle. ""Species richness, distribution and genetic diversity of Caenorhabditis nematodes in a remote tropical rainforest."" BMC evolutionary biology 13, no. 1 (2013): 10.; Kiontke, Karin C., Marie-Anne Félix, Michael Ailion, Matthew V. Rockman, Christian Braendle, Jean-Baptiste Pénigault, and David HA Fitch. ""A phylogeny and molecular barcodes for Caenorhabditis, with numerous new species from rotting fruits."" BMC evolutionary biology 11, no. 1 (2011): 339."
Cele	Caenorhabditis elegans	V	androdioecy	B	B	B	free	C	B	"Félix, Marie-Anne, Richard Jovelin, Céline Ferrari, Shery Han, Young Ran Cho, Erik C. Andersen, Asher D. Cutter, and Christian Braendle. ""Species richness, distribution and genetic diversity of Caenorhabditis nematodes in a remote tropical rainforest."" BMC evolutionary biology 13, no. 1 (2013): 10.; Kiontke, Karin C., Marie-Anne Félix, Michael Ailion, Matthew V. Rockman, Christian Braendle, Jean-Baptiste Pénigault, and David HA Fitch. ""A phylogeny and molecular barcodes for Caenorhabditis, with numerous new species from rotting fruits."" BMC evolutionary biology 11, no. 1 (2011): 339."
Cjap	Caenorhabditis japonica	V	gonochoristic	A	A	A	free	C	B	"Félix, Marie-Anne, Richard Jovelin, Céline Ferrari, Shery Han, Young Ran Cho, Erik C. Andersen, Asher D. Cutter, and Christian Braendle. ""Species richness, distribution and genetic diversity of Caenorhabditis nematodes in a remote tropical rainforest."" BMC evolutionary biology 13, no. 1 (2013): 10.; Kiontke, Karin C., Marie-Anne Félix, Michael Ailion, Matthew V. Rockman, Christian Braendle, Jean-Baptiste Pénigault, and David HA Fitch. ""A phylogeny and molecular barcodes for Caenorhabditis, with numerous new species from rotting fruits."" BMC evolutionary biology 11, no. 1 (2011): 339."
Crem	Caenorhabditis remanei	V	gonochoristic	A	A	A	free	C	B	"Félix, Marie-Anne, Richard Jovelin, Céline Ferrari, Shery Han, Young Ran Cho, Erik C. Andersen, Asher D. Cutter, and Christian Braendle. ""Species richness, distribution and genetic diversity of Caenorhabditis nematodes in a remote tropical rainforest."" BMC evolutionary biology 13, no. 1 (2013): 10.; Kiontke, Karin C., Marie-Anne Félix, Michael Ailion, Matthew V. Rockman, Christian Braendle, Jean-Baptiste Pénigault, and David HA Fitch. ""A phylogeny and molecular barcodes for Caenorhabditis, with numerous new species from rotting fruits."" BMC evolutionary biology 11, no. 1 (2011): 339."
Dimm	Dirofilaria immitis	III	gonochoristic	A	A	A	animal	A	A	"Bain, Odile, and Simon Babayan. ""Behaviour of filariae: morphological and anatomical signatures of their life style within the arthropod and vertebrate hosts."" Filaria Journal 2, no. 1 (2003): 16."
Dviv	Dictyocaulus viviparus	V	gonochoristic	A	A	A	animal	A	A	"Ranganathan, Shoba, Shivashankar H. Nagaraj, Min Hu, Christina Strube, Thomas Schnieder, and Robin B. Gasser. ""A transcriptomic analysis of the adult stage of the bovine lungworm, Dictyocaulus viviparus."" BMC genomics 8, no. 1 (2007): 311."
Ebre	Enoplus brevis	II	gonochoristic	A	A	A	free	C	B	"Atkinson, H. J. ""The respiratory physiology of the marine nematodes Enoplus brevis (Bastian) and E. communis (Bastian) I. The influence of oxygen tension and body size."" Journal of Experimental Biology 59, no. 1 (1973): 255-266."
Eela	Elaeophora elaphi	III	gonochoristic	A	A	A	animal	A	A	"Höfle, Ursula, J. Vicente, D. Nagore, Ana Hurtado, A. Pena, J. De La Fuente, and Christian Gortázar. ""The risks of translocating wildlife: pathogenic infection with Theileria sp. and Elaeophora elaphi in an imported red deer."" Veterinary parasitology 126, no. 4 (2004): 387-395.; Carrasco, L., Y. Fierro, J. M. Sánchez-Castillejo, M. J. Bautista, J. C. Gómez-Vllamandos, and M. A. Sierra. ""Elaeophorosis in red deer caused by Elaeophora elaphi: lesions of natural disease."" Veterinary Pathology Online 32, no. 3 (1995): 250-257."
Ever	Enterobius vermicularis	III	gonochoristic	A	A	A	animal	A	A	"Cook, Gordon C. ""Enterobius vermicularis infection.""Gut 35, no. 9 (1994): 1159."
